time;_state_;in;indisc;inerr;innucast;inucast;out;outdisc;outerr;outnucast;outqlen;outucast
1631458800;1,0000000000e+02;1,1984581869e+04;1,9749206944e-01;0,0000000000e+00;5,5751827667e-01;2,3051496823e+01;8,6147508735e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8011222879e+01
1631460600;1,0000000000e+02;1,1852733807e+04;1,9751715833e-01;0,0000000000e+00;5,5696388222e-01;2,2784236941e+01;8,5633170140e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7717307377e+01
1631462400;1,0000000000e+02;1,1968136562e+04;1,9778130222e-01;0,0000000000e+00;5,5750666222e-01;2,2888413221e+01;8,5840399978e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7778909917e+01
1631464200;1,0000000000e+02;1,1865432299e+04;1,9722297611e-01;0,0000000000e+00;5,5776595222e-01;2,2718624137e+01;8,5568172415e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7660164954e+01
1631466000;1,0000000000e+02;1,1964186831e+04;1,9778743222e-01;0,0000000000e+00;5,5696414389e-01;2,2938668989e+01;8,6202868911e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7856460215e+01
1631467800;1,0000000000e+02;1,1796033698e+04;1,9749826056e-01;0,0000000000e+00;5,5750710667e-01;2,2543203472e+01;8,5292836675e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7462428200e+01
1631469600;1,0000000000e+02;1,1966443270e+04;1,9751257889e-01;0,0000000000e+00;5,5722295444e-01;2,2882068291e+01;8,5829912613e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7763196243e+01
1631471400;1,0000000000e+02;1,1878893987e+04;1,9749847611e-01;0,0000000000e+00;5,5777389667e-01;2,2650594795e+01;8,5490586388e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7663905109e+01
1631473200;1,0000000000e+02;1,2478427789e+04;1,9695460278e-01;0,0000000000e+00;5,5721615556e-01;2,5033345919e+01;8,8611987822e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,9459283225e+01
1631475000;1,0000000000e+02;1,3047728251e+04;1,9720900333e-01;0,0000000000e+00;5,5658644778e-01;2,8582844548e+01;9,9621248157e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,2530940473e+01
1631476800;1,0000000000e+02;1,2131432967e+04;1,9725174778e-01;0,0000000000e+00;5,5759954278e-01;2,3021195299e+01;8,6120392270e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7850112873e+01
1631478600;1,0000000000e+02;1,1843714144e+04;1,9721821000e-01;0,0000000000e+00;5,5690527222e-01;2,2626957083e+01;8,5421059538e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7592843082e+01
1631480400;1,0000000000e+02;1,1999284003e+04;1,9722955500e-01;0,0000000000e+00;5,5776490722e-01;2,2933218198e+01;8,5904376040e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7868307347e+01
1631482200;1,0000000000e+02;1,4662276509e+04;1,9777310222e-01;0,0000000000e+00;5,5752468500e-01;2,4622033645e+01;8,6945706941e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8238460206e+01
1631484000;1,0000000000e+02;1,1947475750e+04;1,9722432944e-01;0,0000000000e+00;5,5693776333e-01;2,2870286591e+01;8,5950510202e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7847821063e+01
1631485800;1,0000000000e+02;1,1780494330e+04;1,9776652667e-01;0,0000000000e+00;5,5716685833e-01;2,2563045678e+01;8,5316181668e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7577482975e+01
1631487600;1,0000000000e+02;1,1933040068e+04;1,9722434889e-01;0,0000000000e+00;5,5804973000e-01;2,2818183712e+01;8,5793068332e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7846438459e+01
1631489400;1,0000000000e+02;1,1822845270e+04;1,9779240500e-01;0,0000000000e+00;5,5697668722e-01;2,2603493818e+01;8,5557398978e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7597909702e+01
1631491200;1,0000000000e+02;1,1940469017e+04;1,9746775389e-01;0,0000000000e+00;5,5716489000e-01;2,2846991434e+01;8,6032036749e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7907236988e+01
1631493000;1,0000000000e+02;1,1869610784e+04;1,9751880111e-01;0,0000000000e+00;5,5697067889e-01;2,2772598418e+01;8,6292795826e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7758245361e+01
1631494800;1,0000000000e+02;1,1994685298e+04;1,9721770222e-01;0,0000000000e+00;5,5750263444e-01;2,2945954453e+01;8,5978517633e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7970757941e+01
1631496600;1,0000000000e+02;1,2357785151e+04;1,9722260667e-01;0,0000000000e+00;5,5810417278e-01;2,3011508575e+01;8,5816399832e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7918785411e+01
1631498400;1,0000000000e+02;1,3833080383e+04;1,9720219333e-01;0,0000000000e+00;5,5690161056e-01;2,4164031440e+01;8,6141319736e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8165797653e+01
1631500200;1,0000000000e+02;1,2252074367e+04;1,9779200667e-01;0,0000000000e+00;5,5726704278e-01;2,3405004277e+01;8,7692616719e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8456154416e+01
1631502000;1,0000000000e+02;1,1817137020e+04;1,9720783222e-01;0,0000000000e+00;5,5689468556e-01;2,2725935429e+01;8,6137424847e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7783960907e+01
1631503800;1,0000000000e+02;1,1578435345e+04;1,9721757222e-01;0,0000000000e+00;5,5807570944e-01;2,2330280988e+01;8,5043888760e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7507648394e+01
1631505600;1,0000000000e+02;4,6831651345e+04;1,9779348833e-01;0,0000000000e+00;5,5752852778e-01;4,6356508348e+01;8,9066511990e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,3238193534e+01
1631507400;1,0000000000e+02;1,1538790037e+04;1,9724410500e-01;0,0000000000e+00;5,5702804000e-01;2,2392860179e+01;8,4740512431e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7686126033e+01
1631509200;1,0000000000e+02;1,2503279727e+04;1,9774203722e-01;0,0000000000e+00;5,5711650500e-01;2,3575781960e+01;8,7697309249e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8798712851e+01
1631511000;1,0000000000e+02;3,4602438397e+04;1,9778517111e-01;0,0000000000e+00;5,5808133333e-01;4,1019957325e+01;1,0220809277e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,8795108657e+01
1631512800;1,0000000000e+02;2,4109777959e+05;1,9722977500e-01;0,0000000000e+00;5,5698093833e-01;2,1476827642e+02;2,5931933691e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,0459308211e+02
1631514600;1,0000000000e+02;2,7803567284e+06;1,9721768278e-01;0,0000000000e+00;5,5749228778e-01;1,9380129891e+03;5,5105686082e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;5,1389525285e+02
1631516400;1,0000000000e+02;3,4768662963e+05;1,9815612611e-01;0,0000000000e+00;5,5708732833e-01;2,7664100164e+02;2,0181372012e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;9,9038335923e+01
1631518200;1,0000000000e+02;4,4303165424e+05;1,9733961778e-01;0,0000000000e+00;5,5703407778e-01;3,4951577982e+02;2,2844361932e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,1807637550e+02
1631520000;1,0000000000e+02;3,4725221328e+05;1,9724921111e-01;0,0000000000e+00;5,5730548556e-01;2,8073893943e+02;2,5368313772e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,2775946498e+02
1631521800;1,0000000000e+02;4,1357611938e+05;1,9719803000e-01;0,0000000000e+00;5,5787042222e-01;3,4381740933e+02;2,9875891068e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,5328120761e+02
1631523600;1,0000000000e+02;4,5559461077e+05;1,9734873611e-01;0,0000000000e+00;5,5687635000e-01;3,8023091592e+02;3,1450750019e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,5734873809e+02
1631525400;1,0000000000e+02;2,9445655846e+05;1,8774857333e-01;0,0000000000e+00;5,5775793333e-01;2,8666473177e+02;3,0585166942e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,5006848146e+02
1631527200;1,0000000000e+02;2,8136322546e+05;1,9720050000e-01;0,0000000000e+00;5,5766977667e-01;2,4370034392e+02;2,3700835321e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,0436573621e+02
1631529000;1,0000000000e+02;1,3367808785e+05;1,9726036667e-01;0,0000000000e+00;5,5681508667e-01;1,2749156639e+02;2,0648243073e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;7,7335490750e+01
